Date,"Retail Sales Survey: Retail Sales Index: Food, Drinks, and Tobacco",Retail Sales Survey: Retail Sales Index: Other Goods: Apparel,Retail Sales Survey: Retail Sales Index: Household Appliances,Retail Sales Survey: Retail Sales Index: Stationery & Communication,Retail Sales Survey: Retail Sales Index: Cultural & Recreation,Retail Sales Survey: Retail Sales Index: Fuels,Retail Sales Survey: Retail Sales Index: CarSpareParts&Accessories,Retail Sales Survey: Retail Sales Index: Other Goods,Hotel Room Occupancy: Jakarta: Average,Hotel Room Occupancy: Bali: Average,Electronic Card Transaction: Credit Card: Value,Electronic Card Transaction: ATM and Debit Card: Value,Consumption: Cement: Domestic,Construction Machinery: Sales Volume: United Tractors (Komatsu): Total,Motor Vehicle Sales: Wholesales,(DC)Bank of Indonesia: BI Rate,Policy Rate: Month End: Indonesia: BI-Rate,Interest_Rate,Gross Domestic Product: SNA 2008: 2010p,Gross Domestic Product: SNA 2008: 2010p: Consumption Expenditure,Gross Domestic Product: SNA 2008: 2010p: Consumption Expenditure: Household,"Gross Domestic Product: SNA 2008: 2010p: Consumption Expenditure: Household: Food & Beverages, Other than Restaurant","Gross Domestic Product: SNA 2008: 2010p: Consumption Expenditure: Household: Apparel, Footwear & Maintenance Services",Gross Domestic Product: SNA 2008: 2010p: Consumption Expenditure: Household: Equipments,Gross Domestic Product: SNA 2008: 2010p: Consumption Expenditure: Household: Health & Education,Gross Domestic Product: SNA 2008: 2010p: Consumption Expenditure: Household: Transportation & Communication,Gross Domestic Product: SNA 2008: 2010p: Consumption Expenditure: Household: Restaurant & Hotel,Gross Domestic Product: SNA 2008: 2010p: Consumption Expenditure: Household: Others,Gross Domestic Product: SNA 2008: 2010p: GFCF: Buildings & Structures,Gross Domestic Product: SNA 2008: 2010p: GFCF: Machine & Equipment,Gross Domestic Product: SNA 2008: 2010p: GFCF: Vehicles,Gross Domestic Product: SNA 2008: 2010p: GFCF: Other Equipments,Gross Domestic Product: SNA 2008: 2010p: GFCF: Cultivated Biological Resources,Gross Domestic Product: SNA 2008: 2010p: GFCF: Intellectual Property Products
5/1/2011,112.1,94.2,102.3,110.6,102.6,106.7,99.8,92.1,56.87,62.9,15587.7029,199493.99,4082.89,617,47107,6.75,,6.75,,,,,,,,,,,,,,,,
6/1/2011,110.1,100.7,108,112.4,105,107,96.9,95.8,57.76,70.47,15330.85981,202145.521,4101.10422,742,55846,6.75,,6.75,1816268.2,1144598.114,980156.5692,367145.0164,39887.97021,133798.3223,66442.30622,234733.7118,87391.92699,50757.31525,415367.599,66814.62589,32123.83796,8262.701722,33524.92152,12458.0351
7/1/2011,119,113.8,112.6,110,115.9,107.7,95.8,106.8,59.95,71.74,16270.86092,221876.612,4378.39263,728,72034,6.75,,6.75,,,,,,,,,,,,,,,,
8/1/2011,146.3,170.5,123.1,117.2,91.2,102.4,107,157.3,50.98,62.69,15350.75471,232801.422,3603.234,589,60972,6.75,,6.75,,,,,,,,,,,,,,,,
9/1/2011,109.3,91.9,109.5,109.2,102.8,102.9,100.8,88,55.18,65.01,15203.42137,193497.385,3842.52609,746,68945,6.75,,6.75,1881849.7,1197786.785,1016155.356,379221.1618,41852.42091,139336.7257,68885.68436,243265.5138,92300.77695,51293.07226,423960.2354,68669.90893,37919.85931,8618.683415,31668.61337,11896.66868
10/1/2011,109.9,88.6,115.3,101.6,98.1,113.8,90.1,85.4,59.16,65.63,15044.69534,220937.911,4667.77225,701,71439,6.5,,6.5,,,,,,,,,,,,,,,,
11/1/2011,112.4,91.7,117.4,109.9,98,107.9,89.9,88.4,59.09,60.15,15719.07832,215554.941,4447.26577,757,51538,6,,6,,,,,,,,,,,,,,,,
12/1/2011,116.3,113.5,124.9,122,115.3,110.6,102,106.1,56.22,61.59,17002.73415,238807.08,4556.59778,613,65797,6,,6,1840786.2,1270733.731,1016714.735,379508.6157,41266.15826,140087.0164,68722.42001,243676.9684,91271.28995,52182.26656,434688.2996,76702.49792,42762.67314,9193.725634,44264.52627,11166.40098
1/1/2012,116.4368244,122.3559405,131.0699785,125.6479749,97.74877518,102.7827807,95.46225439,111.2696515,54.99,62.01,15860.20846,229573.3586,4059.711,617,62955,6,,6,,,,,,,,,,,,,,,,
2/1/2012,108.6909423,110.7491797,130.1868281,125.245195,101.8251209,97.35424794,86.87690622,102.109056,54.91,55.52,15144.53505,225653.6029,4062.51361,769,70913,5.75,,5.75,,,,,,,,,,,,,,,,
3/1/2012,116.4520795,114.6646001,130.4249045,120.5509895,105.1933512,101.6733054,93.02626225,106.8084367,55.96,59.39,16406.12072,241276.5785,4379.02394,821,73148,5.75,,5.75,1855580.2,1156445.055,1017752.386,378037.2653,41828.68084,137645.3984,68648.1943,247354.4602,91458.40515,52779.98144,423271.6203,72145.77778,39037.06644,8558.884067,29059.47208,12387.81929
4/1/2012,114.3656603,112.9625272,131.9777622,118.729045,102.9097358,102.6433877,86.91401643,105.6296963,57.91,59.01,15837.01927,229045.417,4182.79271,749,72299,5.75,,5.75,,,,,,,,,,,,,,,,
5/1/2012,117.7754893,123.94355,137.7195495,115.1260695,103.7300321,96.64033653,93.11015989,114.9974147,59.19,60.21,17514.53098,250709.8702,4718.79733,773,80289,5.75,,5.75,,,,,,,,,,,,,,,,
6/1/2012,123.0438333,130.8661264,157.1290105,119.490703,109.1954484,98.23413566,98.53669359,119.5922748,58.58,64.31,16887.40949,265043.7393,4488.68888,502,85074,5.75,,5.75,1929018.7,1224344.133,1034180.15,381432.4215,42551.13302,141726.3726,70398.63526,250779.4771,94004.3887,53287.72163,442857.1187,77351.53217,42851.85234,9156.428943,35995.68993,17939.7027
7/1/2012,142.6638999,157.7964415,155.2635061,123.4057816,111.9937559,101.7833993,104.0607383,139.9559518,58.81,62.28,18384.78552,278324.6804,4811.41593,402,87286,5.75,,5.75,,,,,,,,,,,,,,,,
8/1/2012,156.1273531,204.94816,167.1870997,143.8059894,101.0196711,103.9008665,95.6576023,179.5185598,51.02,62.17,17174.02001,270371.6506,3601.257,402,64564,5.75,,5.75,,,,,,,,,,,,,,,,
9/1/2012,131.0379693,124.155681,149.3466117,123.3648234,107.3197185,102.4401139,97.11615999,114.7715046,56.19,62.22,16160.47615,255836.8385,5163.62074,420,85185,5.75,,5.75,1993632.3,1251514.441,1071689.618,392516.7729,44587.18801,147289.451,72851.49859,259572.8223,98903.0271,55968.85816,461944.866,78142.44224,41871.53486,8948.211957,34788.93458,12115.70411
10/1/2012,128.0263979,119.7423642,152.9590541,137.6774025,103.7182448,103.5541441,97.54098778,112.2403221,60.37,65.8,17192.50222,264773.5361,5168.68106,249,89107,5.75,,5.75,,,,,,,,,,,,,,,,
11/1/2012,128.9500919,121.3024737,153.1657083,136.7036675,94.40298384,101.4829152,101.3109152,113.7576497,60.5,61.07,16722.56082,266630.5908,5221.60349,289,86968,5.75,,5.75,,,,,,,,,,,,,,,,
12/1/2012,133.7932097,139.4897436,155.3337225,145.193878,94.33024709,104.7463309,107.1779284,127.5097543,58.61,63.2,18556.56704,287840.1795,5111.37216,209,75743,5.75,,5.75,1948852.2,1327221.585,1072165.446,393649.0613,43911.36663,148382.7846,72610.20991,260392.4451,97000.7897,56218.78905,483484.3863,79014.52909,47498.43959,9244.124079,46923.09602,13139.55695
1/1/2013,125.6053515,126.6004922,141.8461019,141.8264098,94.70237959,104.6247041,103.8279354,118.0806306,51.98,57.57,17960.04167,291301.5841,4650.10721,409,80593,5.75,,5.75,,,,,,,,,,,,,,,,
2/1/2013,120.4550765,125.8087866,140.5504741,169.9601228,95.56927576,102.9429976,99.82423008,117.0612707,56.89,58.05,15902.69192,270283.9894,4404.71003,412,87187,5.75,,5.75,,,,,,,,,,,,,,,,
3/1/2013,119.3427979,131.1459647,143.3412781,170.4485914,104.902795,108.5322242,110.5121615,122.1121695,57.76,60.12,17573.94567,304755.7719,4533.07674,451,81010,5.75,,5.75,1958395.5,1219072.193,1075566.194,393928.4373,44187.04905,147141.1633,72740.08074,264218.2933,96787.10743,56564.06279,457181.2525,74977.52322,39747.31618,9092.812341,32873.84545,14700.89232
4/1/2013,114.72505,139.7783185,145.450818,175.9593095,106.4219496,108.8685505,115.5273094,127.7836207,58.6,58.21,18406.61671,306129.9931,4540.89534,453,86875,5.75,,5.75,,,,,,,,,,,,,,,,
5/1/2013,121.998718,154.1308482,148.6447366,181.0453179,112.2041005,108.2350287,114.1617525,138.0971449,58.7,60.31,18641.73696,314308.2691,4822.469983,401,84581,5.75,,5.75,,,,,,,,,,,,,,,,
6/1/2013,137.3347565,173.1239487,152.2660176,183.7704384,115.6800601,116.6595692,108.4313668,151.8577314,59.24,61.77,18182.41356,313943.444,4900.41186,326,87224,6,,6,2036816.6,1286558.92,1089835.21,397643.4414,44726.04965,149444.1659,74282.08245,267676.297,99005.1099,57058.06333,478407.779,76078.36395,42811.78464,9155.37648,36752.12637,15982.01672
7/1/2013,152.1829347,245.6512634,171.3848463,196.1344127,118.3616109,123.90806,100.0691694,207.0447043,57.26,62.44,21001.35355,360823.904,5023.324,318,94199,6.5,,6.5,,,,,,,,,,,,,,,,
8/1/2013,149.1260699,214.2870861,168.9988152,195.7919057,116.8035906,117.9273284,96.09816874,192.6080776,56.28,62.64,18173.93308,305842.3991,3392.60265,211,64420,7,,7,,,,,,,,,,,,,,,,
9/1/2013,138.9110379,144.4405414,148.4436126,197.1780653,115.2395455,119.9325771,99.34378166,135.7605916,57.01,63.76,17909.46752,315697.8001,5329.45371,322,97837,7.25,,7.25,2103598.1,1329060.612,1128699.253,410500.4557,46772.05192,155373.1721,77041.08552,277156.308,103867.1153,57989.06437,495100.5327,76286.82693,40677.9423,9066.436405,35884.48417,16774.94798
10/1/2013,141.2370128,150.7041512,149.3785514,199.6577067,118.8205129,116.3038023,95.54301957,141.676826,60.04,60.57,19482.28137,333682.3635,5579.80795,402,92984,7.25,,7.25,,,,,,,,,,,,,,,,
11/1/2013,142.9618613,151.485151,180.7246432,217.7436644,126.6700978,115.5175479,94.0780052,150.0394968,60.68,60.94,18894.09061,322216.0701,5565.91615,247,94833,7.5,,7.5,,,,,,,,,,,,,,,,
12/1/2013,164.916083,169.7490535,202.3200674,242.7436891,138.0520102,126.3404384,106.8656003,168.0165543,59.82,62.53,21241.00452,358384.8491,5280.85014,251,82225,7.5,,7.5,2057687.6,1405155.259,1129316.254,410766.456,46325.05142,156468.1741,76728.08517,276271.3063,103662.1151,59095.0656,502982.4545,80439.70726,38355.44792,10157.50053,43569.73569,17317.93114
1/1/2014,147.7233959,162.6827418,182.3640609,221.2673174,116.5924025,119.0009687,105.7080764,166.4461318,53.55,57.76,19645.61683,341819.8933,4639.04869,503,87741,7.5,,7.5,,,,,,,,,,,,,,,,
2/1/2014,139.4810472,157.7061602,155.3468096,224.3097115,104.122203,121.0331166,106.2755372,165.5833073,54.67,59.13,17621.56081,318458.0802,4523.223,374,95146,7.5,,7.5,,,,,,,,,,,,,,,,
3/1/2014,142.1179325,169.7333297,127.7196101,232.0621536,105.2510792,125.9552359,107.868666,159.871461,57.32,59.87,19587.33451,360189.9904,4913.77159,334,96799,7.5,,7.5,2058584.9,1287620.787,1131854.552,410973.4562,46471.09914,155560.1727,76980.08545,278595.9524,103762.72,59511.06606,482360.1739,74312.57932,37622.95682,9491.215025,40229.04255,18758.29121
4/1/2014,138.5054522,169.4118082,129.6094566,225.7866123,98.05766969,124.6705983,111.3845511,158.0036578,59.28,61.28,20724.13265,343036.4314,4521.48555,366,90289,7.5,,7.5,,,,,,,,,,,,,,,,
5/1/2014,143.6396659,179.4133455,134.4229693,236.217724,101.6632602,128.9926841,109.3786359,166.115003,59.62,61.01,21182.72519,373374.3963,5187.33514,324,82610,7.5,,7.5,,,,,,,,,,,,,,,,
6/1/2014,147.4982067,193.5700968,137.847603,245.3609647,102.8643789,124.3920004,103.8680723,176.3218401,60.41,62.1,21739.23849,378459.3932,5158.851645,306,93832,7.5,,7.5,2137385.6,1344308.16,1146012.149,415635.8908,47122.05231,156887.1741,78309.54521,282935.5085,105186.9112,59935.06653,501895.7609,77542.85556,40320.88143,9959.022905,34975.03181,20976.85489
7/1/2014,190.5735061,250.5255675,174.97699,249.1296946,119.3671374,127.0423011,111.8753593,225.4890051,56.72,61.4,21653.07615,410167.4953,3755.83155,301,77570,7.5,,7.5,,,,,,,,,,,,,,,,
8/1/2014,165.5314884,168.0691331,155.5088678,272.4384341,119.3815971,123.0106157,107.2890067,159.696558,56.75,62.07,21535.92934,361024.3347,4661.80706,242,80911,7.5,,7.5,,,,,,,,,,,,,,,,
9/1/2014,164.4666347,159.6433666,152.3663875,271.3058852,116.4656968,126.5889123,112.9787791,155.5363716,58.91,63.87,21921.36519,379226.1782,5632.06376,232,84471,7.5,,7.5,2207343.6,1390246.594,1186520.001,430515.8233,48586.2119,161304.179,81226.71357,293299.9075,110302.0978,61285.06803,517454.5295,74426.15537,38626.90105,10562.91291,40655.85337,21383.62267
10/1/2014,165.4663218,163.8569195,151.312012,277.3175812,117.9095492,130.3746018,115.1130016,158.6215263,60.26,62.83,22588.67895,384546.8352,5758.76196,251,86868,7.5,,7.5,,,,,,,,,,,,,,,,
11/1/2014,164.7681162,166.6030414,147.2109328,276.4324071,120.1629918,132.4830073,108.481684,159.8537519,60.29,61.36,21368.24887,375898.2082,5785.66146,170,74290,7.75,,7.75,,,,,,,,,,,,,,,,
12/1/2014,173.6608605,181.0883507,159.4451869,315.0022425,112.027602,113.6005448,104.6592567,170.892341,53.2,51.07,25489.55069,418872.2006,5371.65816,110,63763,7.75,,7.75,2161552.5,1464546.018,1186631.742,428059.3811,48189.81264,162472.9837,81637.883,293468.3257,110998.2868,61805.0686,538676.4833,73872.60228,35519.72647,10899.95769,44444.40395,17502.95223
1/1/2015,171.93209,163.4619002,158.38118,288.3891273,103.362663,102.0518202,111.6827355,162.2153085,53.32,53.45,21596.04345,387684.1341,4861.927878,244,78468,7.75,,7.75,,,,,,,,,,,,,,,,
2/1/2015,173.787933,160.6719343,151.3695313,288.8000215,102.582018,96.13866653,107.3473881,157.0280503,52.32,60.03,20398.51523,354339.8541,4306.66692,275,73829,7.5,,7.5,,,,,,,,,,,,,,,,
3/1/2015,177.8824296,160.1165842,149.4773961,306.1800803,109.441364,101.889491,105.96622,159.4951592,56.82,54.5,24023.24975,399001.7995,4670.867747,244,85304,7.5,,7.5,2158040,1345850.954,1188361.912,433070.0019,48367.45734,162917.2393,81277.96694,292371.5363,108923.7462,61433.96357,509890.8726,73414.31142,35748.15205,10158.38277,43842.43557,20162.61808
4/1/2015,181.9978729,166.1099761,145.5347169,307.2697084,102.3429983,103.3591041,97.07290561,164.9409074,58.64,54.7,22964.26931,391571.0805,4537.237193,203,69139,7.5,,7.5,,,,,,,,,,,,,,,,
5/1/2015,185.867312,169.4286346,148.7118448,306.2133189,107.7484234,103.5301994,96.91390159,166.3649576,58.72,57.51,23556.50869,403391.9255,4834.26549,207,65939,7.5,,7.5,,,,,,,,,,,,,,,,
