Date,Average Retail Price: Rice: Traditional Market,Average Retail Price: Rice: Low Quality I: Traditional Market,Average Retail Price: Rice: Low Quality II: Traditional Market,Average Retail Price: Rice: Medium Quality I: Traditional Market,Average Retail Price: Rice: Medium Quality II: Traditional Market,Average Retail Price: Rice: Super Quality I: Traditional Market,Average Retail Price: Rice: Super Quality II: Traditional Market,Average Retail Price: Chicken Meat: Traditional Market,Average Retail Price: Chicken Meat: Purebred Chicken: Traditional Market,Average Retail Price: Beef: Traditional Market,Average Retail Price: Beef: Quality 1: Traditional Market,Average Retail Price: Beef: Quality 2: Traditional Market,Average Retail Price: Egg: Traditional Market,Average Retail Price: Egg: Purebred Chicken Egg: Traditional Market,Average Retail Price: Onion: Traditional Market,Average Retail Price: Onion: Medium Size: Traditional Market,Average Retail Price: Garlic: Traditional Market,Average Retail Price: Garlic: Medium Size: Traditional Market,Average Retail Price: Red Chili Pepper: Traditional Market,Average Retail Price: Red Chili Pepper: Big: Traditional Market,Average Retail Price: Red Chili Pepper: Curly: Traditional Market,Average Retail Price: Cayenne Pepper: Traditional Market,Average Retail Price: Cayenne Pepper: Green: Traditional Market,Average Retail Price: Cayenne Pepper: Red: Traditional Market,Average Retail Price: Cooking Oil: Traditional Market,Average Retail Price: Cooking Oil: Bulky: Traditional Market,Average Retail Price: Cooking Oil: Brand I: Traditional Market,Average Retail Price: Cooking Oil: Brand II: Traditional Market,Average Retail Price: Sugar: Traditional Market,Average Retail Price: Sugar: Premium Quality: Traditional Market,Average Retail Price: Sugar: Local: Traditional Market,Average Retail Price: Rice: Modern Market,Average Retail Price: Rice: Low Quality I: Modern Market,Average Retail Price: Rice: Low Quality II: Modern Market,Average Retail Price: Rice: Medium Quality I: Modern Market,Average Retail Price: Rice: Medium Quality II: Modern Market,Average Retail Price: Rice: Super Quality I: Modern Market,Average Retail Price: Rice: Super Quality II: Modern Market,Average Retail Price: Chicken Meat: Modern Market,Average Retail Price: Chicken Meat: Purebred Chicken: Modern Market,Average Retail Price: Beef: Modern Market,Average Retail Price: Beef: Quality 1: Modern Market,Average Retail Price: Beef: Quality 2: Modern Market,Average Retail Price: Egg: Modern Market,Retail Price: Egg: Purebred Chicken Egg: Modern Market,Retail Price: Onion: Modern Market,Average Retail Price: Onion: Medium Size: Modern Market,Average Retail Price: Garlic: Modern Market,Average Retail Price: Garlic: Medium Size: Modern Market,Average Retail Price: Red Chili Pepper: Modern Market,Average Retail Price: Red Chili Pepper: Big: Modern Market,Average Retail Price: Red Chili Pepper: Curly: Modern Market,Average Retail Price: Cayenne Pepper: Modern Market,Average Retail Price: Cayenne Pepper: Green: Modern Market,Average Retail Price: Cayenne Pepper: Red: Modern Market,Average Retail Price: Cooking Oil: Modern Market,Average Retail Price: Cooking Oil: Brand I: Modern Market,Average Retail Price: Cooking Oil: Brand II: Modern Market,Average Retail Price: Sugar: Modern Market,Average Retail Price: Sugar: Premium Quality: Modern Market,Average Retail Price: Sugar: Local: Modern Market
7/1/2016,11550,10900,9900,11750,11850,12350,13000,40000,40000,121100,123450,120000,25450,25450,45300,45300,43150,43150,32600,35250,33350,40250,35800,42100,14200,12700,15200,14800,17800,18300,17000,16650,13750,13550,16700,16500,19700,19100,37150,37150,145800,154650,138400,24700,24700,50650,50650,45300,45300,58900,64950,52850,49700,49050,68700,14650,14650,14650,17650,18350,16900
7/11/2016,11600,10650,9800,11450,11900,12900,13200,40700,40700,121550,123550,120500,23750,23750,46300,46300,40900,40900,35050,35200,36900,41850,36000,46750,14150,13400,14850,14350,17550,18200,16650,16750,14150,13650,16850,16700,19700,19150,38450,38450,146750,156200,139100,25150,25150,52700,52700,44550,44550,57000,64250,49700,47400,47200,49900,14700,14650,14750,17750,18450,17050
7/12/2016,11600,10650,9800,11450,11900,12900,13200,38650,38650,121450,123550,120250,24050,24050,47550,47550,39100,39100,33550,33800,34950,37450,32500,40400,14100,13250,14850,14350,17550,18200,16650,16750,14150,13650,16850,16700,19700,19150,38450,38450,146750,156200,139100,25150,25150,52700,52700,44550,44550,57000,64250,49700,47400,47200,49900,14700,14650,14750,17750,18450,17050
7/13/2016,11600,10650,9800,11450,11900,12900,13200,37700,37700,120850,122600,119900,24000,24000,47550,47550,38600,38600,32200,32850,32650,36150,31750,38150,14100,13250,14850,14350,17550,18200,16600,16750,14150,13650,16850,16700,19700,19150,38450,38450,146750,156200,139100,25150,25150,52700,52700,44550,44550,57000,64250,49700,47400,47200,49900,14700,14650,14750,17750,18450,17050
7/14/2016,11500,10500,9750,11450,11650,12750,13050,40200,40200,116600,119650,113350,23900,23900,43950,43950,38900,38900,34800,37350,33950,38050,33650,40700,14000,13100,14600,14450,17500,18200,16600,16750,14150,13650,16850,16700,19700,19150,38450,38450,146750,156200,139100,25150,25150,52700,52700,44550,44550,57000,64250,49700,47400,47200,49900,14700,14650,14750,17750,18450,17050
7/15/2016,11500,10500,9750,11450,11650,12750,13000,39550,39550,116200,118950,113200,23850,23850,43950,43950,38950,38950,35600,36000,36950,37050,32150,40150,14000,13000,14600,14450,17500,18200,16600,16750,14150,13650,16850,16700,19700,19150,38450,38450,146750,156200,139100,25150,25150,52700,52700,44550,44550,57000,64250,49700,47400,47200,49900,14700,14650,14750,17750,18450,17050
7/18/2016,11450,10400,9800,11650,11350,12900,12600,35850,35850,116300,120100,108450,22250,22250,44250,44250,39100,39100,33200,33200,33600,36300,32400,40700,13550,11850,14450,14000,17300,17750,16750,16700,14100,13650,16750,16600,19700,19200,37400,37400,144200,152450,137550,25050,25050,52250,52250,43600,43600,56350,62950,49700,48150,48000,48400,14700,14650,14750,17700,18400,16950
7/19/2016,11450,10350,9800,11650,11350,12900,12400,35950,35950,116200,120250,108100,22400,22400,44750,44750,39300,39300,32700,32850,32950,36100,32400,40800,13500,11850,14450,14000,17300,17700,16800,16700,14100,13650,16750,16600,19700,19200,37400,37400,144200,152450,137550,25050,25050,52250,52250,43600,43600,56350,62950,49700,48150,48000,48400,14700,14650,14750,17700,18400,16950
7/20/2016,11350,10250,9700,11450,11200,12750,12250,38500,38500,113700,119600,103850,22350,22350,44250,44250,37750,37750,31300,32050,31350,35350,31250,40550,13450,11750,14400,13900,17250,17700,16750,16700,14100,13650,16750,16600,19700,19200,37400,37400,144200,152450,137550,25050,25050,52250,52250,43600,43600,56350,62950,49700,48150,48000,48400,14700,14650,14750,17700,18400,16950
7/21/2016,11350,10250,9700,11450,11250,12700,12250,35350,35350,115400,119200,108800,22700,22700,44250,44250,37600,37600,31600,32100,31750,35400,31100,40550,13450,11700,14400,14000,17250,17700,16700,16700,14100,13650,16750,16600,19700,19200,37400,37400,144200,152450,137550,25050,25050,52250,52250,43600,43600,56350,62950,49700,48150,48000,48400,14700,14650,14750,17700,18400,16950
