Date,Gross Domestic Product: SNA 2008
Mar-16,2929269
Jun-16,3073536.7
Sep-16,3205019
Dec-16,3193903.8
Mar-17,3228172.2
Jun-17,3366787.3
Sep-17,3504138.5
Dec-17,3490727.7
Mar-18,3510363.1
Jun-18,3686836.4
Sep-18,3842343
Dec-18,3799213.5
Mar-19,3782618.3
Jun-19,3964074.7
Sep-19,4067358
Dec-19,4018606.2
Mar-20,3923347.9
Jun-20,3690742.2
Sep-20,3897851.9
Dec-20,3931411.2
Mar-21,3972933
Jun-21,4178022
Sep-21,4327383.9
Dec-21,4498412.5
Mar-22,4508566.3
Jun-22,4897889
Sep-22,5066863.4
Dec-22,5114771.2
Mar-23,5071483.2
Jun-23,5223368
Sep-23,5294981.9
Dec-23,5302543.6
Mar-24,5288291.9
